piezo amplitude phase
2.069585E-08 2.571225E-08 -9.001648E+01
2.063444E-08 2.569017E-08 -9.001099E+01
2.057303E-08 2.576744E-08 -8.992859E+01
2.051161E-08 2.577628E-08 -8.993408E+01
2.045020E-08 2.577186E-08 -9.003845E+01
2.038879E-08 2.569789E-08 -9.015381E+01
2.032738E-08 2.571556E-08 -9.007690E+01
2.026597E-08 2.577296E-08 -9.006592E+01
2.020455E-08 2.576965E-08 -9.006592E+01
2.014314E-08 2.572439E-08 -9.008240E+01
2.008173E-08 2.572549E-08 -8.999451E+01
2.002032E-08 2.572439E-08 -9.001648E+01
1.995891E-08 2.568796E-08 -8.995605E+01
1.989749E-08 2.566698E-08 -9.003296E+01
1.983608E-08 2.569458E-08 -8.999451E+01
1.977467E-08 2.573432E-08 -9.009338E+01
1.971326E-08 2.576082E-08 -9.002747E+01
1.965185E-08 2.575309E-08 -9.007141E+01
1.959043E-08 2.572108E-08 -9.008789E+01
1.952902E-08 2.571556E-08 -9.004395E+01
1.946761E-08 2.571004E-08 -9.007141E+01
1.940620E-08 2.570452E-08 -9.008240E+01
1.934479E-08 2.570562E-08 -8.999451E+01
1.928337E-08 2.568906E-08 -9.018128E+01
1.922196E-08 2.566367E-08 -9.019776E+01
1.916055E-08 2.573543E-08 -9.013733E+01
1.909914E-08 2.569348E-08 -9.009338E+01
1.903773E-08 2.569458E-08 -9.000000E+01
1.897631E-08 2.567802E-08 -8.992310E+01
1.891490E-08 2.568134E-08 -8.998352E+01
1.885349E-08 2.572881E-08 -8.995605E+01
1.879208E-08 2.575088E-08 -9.002747E+01
1.873067E-08 2.570783E-08 -9.008240E+01
1.866925E-08 2.568796E-08 -9.006592E+01
1.860784E-08 2.568465E-08 -9.003296E+01
1.854643E-08 2.571114E-08 -9.004395E+01
1.848502E-08 2.573874E-08 -9.005493E+01
1.842361E-08 2.572439E-08 -8.998352E+01
1.836219E-08 2.571445E-08 -8.996155E+01
1.830078E-08 2.569458E-08 -8.989563E+01
1.823937E-08 2.569127E-08 -8.988464E+01
1.817796E-08 2.562724E-08 -8.992859E+01
1.811655E-08 2.570341E-08 -8.996704E+01
1.805513E-08 2.572439E-08 -9.009888E+01
1.799372E-08 2.573322E-08 -9.000000E+01
1.793231E-08 2.576524E-08 -9.002197E+01
1.787090E-08 2.573322E-08 -9.007690E+01
1.780949E-08 2.570562E-08 -8.998901E+01
1.774807E-08 2.569458E-08 -8.999451E+01
1.768666E-08 2.567140E-08 -9.006043E+01
1.762525E-08 2.571445E-08 -8.999451E+01
1.756384E-08 2.564932E-08 -9.001099E+01
1.750243E-08 2.570121E-08 -9.002197E+01
1.744101E-08 2.571114E-08 -9.003845E+01
1.737960E-08 2.568575E-08 -9.003845E+01
1.731819E-08 2.566698E-08 -9.003296E+01
1.725678E-08 2.565705E-08 -9.002747E+01
1.719537E-08 2.568796E-08 -8.995056E+01
1.713395E-08 2.570121E-08 -8.996704E+01
1.707254E-08 2.575751E-08 -9.001648E+01
1.701113E-08 2.575088E-08 -9.004944E+01
1.694972E-08 2.574536E-08 -9.004944E+01
1.688831E-08 2.577076E-08 -9.012634E+01
1.682689E-08 2.574868E-08 -9.006043E+01
1.676548E-08 2.572770E-08 -9.006592E+01
1.670407E-08 2.572549E-08 -9.014832E+01
1.664266E-08 2.569458E-08 -9.012085E+01
1.658124E-08 2.571004E-08 -9.006043E+01
1.651983E-08 2.570231E-08 -9.007690E+01
1.645842E-08 2.574868E-08 -9.008789E+01
1.639701E-08 2.577296E-08 -9.007141E+01
1.633560E-08 2.573984E-08 -9.005493E+01
1.627418E-08 2.575751E-08 -9.006043E+01
1.621277E-08 2.574205E-08 -9.006043E+01
1.615136E-08 2.571114E-08 -9.010437E+01
1.608995E-08 2.571004E-08 -9.008789E+01
1.602854E-08 2.571777E-08 -9.005493E+01
1.596712E-08 2.573764E-08 -9.008240E+01
1.590571E-08 2.574647E-08 -9.002747E+01
1.584430E-08 2.574757E-08 -9.006592E+01
1.578289E-08 2.574978E-08 -9.010437E+01
1.572148E-08 2.571777E-08 -9.010986E+01
1.566006E-08 2.569679E-08 -9.013733E+01
1.559865E-08 2.573101E-08 -9.008240E+01
1.553724E-08 2.571114E-08 -9.011536E+01
1.547583E-08 2.572218E-08 -9.009888E+01
1.541442E-08 2.569127E-08 -9.010437E+01
1.535300E-08 2.568023E-08 -9.013184E+01
1.529159E-08 2.570783E-08 -9.012085E+01
